tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
19.00;C_to_N_0;85.07;13.15;0.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.0 routing_E2N.0;19.00;E2N.0;0;204.76;1.06;0.00;3.04;car;;0;0.00
20.00;C_to_W_1;113.87;12.99;0.00;0.00;E_to_C_1;5.10;13.04;tripinfo_E2W.0 routing_E2W.0;20.00;E2W.0;0;238.93;0.94;0.00;0.71;car;;0;0.00
24.00;C_to_W_0;113.87;13.80;6.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2W.1 routing_E2W.1;18.00;E2W.1;0;238.93;1.03;0.00;0.37;car;;0;0.00
27.00;C_to_N_0;85.07;13.46;9.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.1 routing_E2N.1;18.00;E2N.1;0;204.76;1.05;0.00;2.17;car;;0;0.00
33.00;C_to_N_0;85.07;13.41;0.00;0.00;S_to_C_1;5.10;13.90;tripinfo_S2N.0 routing_S2N.0;33.00;S2N.0;0;209.77;1.01;0.00;17.80;car;;1;11.00
35.00;C_to_N_0;85.07;10.82;6.00;0.00;S_to_C_0;5.10;11.55;tripinfo_S2N.1 routing_S2N.1;29.00;S2N.1;0;209.77;0.83;0.00;10.36;car;;1;4.00
37.00;C_to_W_1;113.87;13.73;1.00;1.00;S_to_C_1;5.10;10.72;tripinfo_S2W.0 routing_S2W.0;36.00;S2W.0;0;233.20;1.08;0.00;18.52;car;;1;10.00
37.00;C_to_N_0;85.07;11.82;12.00;0.00;S_to_C_1;5.10;11.91;tripinfo_S2N.2 routing_S2N.2;25.00;S2N.2;0;209.77;0.86;0.00;6.70;car;;0;0.00
40.00;C_to_N_1;85.07;13.04;18.00;0.00;S_to_C_1;5.10;13.90;tripinfo_S2N.3 routing_S2N.3;22.00;S2N.3;0;209.77;1.05;0.00;6.88;car;;0;0.00
41.00;C_to_N_0;85.07;11.92;24.00;0.00;S_to_C_0;5.10;12.88;tripinfo_S2N.4 routing_S2N.4;17.00;S2N.4;0;209.77;0.93;0.00;0.61;car;;0;0.00
42.00;C_to_W_1;113.87;11.34;9.00;0.00;S_to_C_1;5.10;12.32;tripinfo_S2W.1 routing_S2W.1;33.00;S2W.1;0;233.20;0.89;0.00;12.42;car;;1;6.00
45.00;C_to_W_1;113.87;13.84;19.00;1.00;S_to_C_1;5.10;10.97;tripinfo_S2W.2 routing_S2W.2;26.00;S2W.2;0;233.20;1.12;0.00;8.25;car;;0;0.00
46.00;C_to_N_0;85.07;13.02;30.00;0.00;S_to_C_0;5.10;13.90;tripinfo_S2N.5 routing_S2N.5;16.00;S2N.5;0;209.77;1.16;0.00;0.56;car;;0;0.00
48.00;C_to_W_1;113.87;12.99;27.00;0.00;S_to_C_1;5.10;13.09;tripinfo_S2W.3 routing_S2W.3;21.00;S2W.3;0;233.20;0.94;0.00;2.43;car;;0;0.00
56.00;C_to_N_0;85.07;13.81;18.00;0.00;E_to_C_1;5.10;13.90;tripinfo_E2N.2 routing_E2N.2;38.00;E2N.2;0;204.76;1.09;0.00;22.49;car;;1;17.00
59.00;C_to_W_0;113.87;12.17;12.00;0.00;E_to_C_1;5.10;13.04;tripinfo_E2W.2 routing_E2W.2;47.00;E2W.2;0;238.93;0.94;0.00;28.67;car;;1;22.00
