tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
16.00;C_to_N_1;85.07;13.63;0.00;0.00;S_to_C_1;5.10;13.90;tripinfo_S2N.0 routing_S2N.0;16.00;S2N.0;0;209.77;1.01;0.00;0.41;car;;0;0.00
19.00;C_to_N_0;85.07;13.15;0.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.0 routing_E2N.0;19.00;E2N.0;0;204.76;1.06;0.00;3.23;car;;0;0.00
20.00;C_to_W_1;113.87;12.99;0.00;0.00;E_to_C_1;5.10;13.04;tripinfo_E2W.0 routing_E2W.0;20.00;E2W.0;0;238.93;0.94;0.00;1.65;car;;0;0.00
26.00;C_to_N_0;85.07;11.04;6.00;0.00;S_to_C_0;5.10;11.55;tripinfo_S2N.1 routing_S2N.1;20.00;S2N.1;0;209.77;0.83;0.00;0.90;car;;0;0.00
28.00;C_to_W_1;113.87;13.44;1.00;1.00;S_to_C_1;5.10;10.72;tripinfo_S2W.0 routing_S2W.0;27.00;S2W.0;0;233.20;1.08;0.00;8.70;car;;1;3.00
32.00;C_to_W_0;113.87;13.33;6.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2W.1 routing_E2W.1;26.00;E2W.1;0;238.93;1.03;0.00;8.60;car;;1;5.00
32.00;C_to_N_0;85.07;13.41;9.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.1 routing_E2N.1;23.00;E2N.1;0;204.76;1.05;0.00;7.27;car;;1;1.00
32.00;C_to_W_1;113.87;12.91;12.00;0.00;E_to_C_1;5.10;13.04;tripinfo_E2W.2 routing_E2W.2;20.00;E2W.2;0;238.93;0.94;0.00;0.85;car;;0;0.00
36.00;C_to_N_0;85.07;11.66;12.00;0.00;S_to_C_1;5.10;11.91;tripinfo_S2N.2 routing_S2N.2;24.00;S2N.2;0;209.77;0.86;0.00;6.23;car;;1;1.00
37.00;C_to_N_1;85.07;13.23;18.00;0.00;S_to_C_1;5.10;13.90;tripinfo_S2N.3 routing_S2N.3;19.00;S2N.3;0;209.77;1.05;0.00;3.49;car;;0;0.00
38.00;C_to_W_1;113.87;11.77;9.00;0.00;S_to_C_1;5.10;12.32;tripinfo_S2W.1 routing_S2W.1;29.00;S2W.1;0;233.20;0.89;0.00;8.94;car;;1;5.00
40.00;C_to_N_0;85.07;12.94;18.00;0.00;E_to_C_1;5.10;13.90;tripinfo_E2N.2 routing_E2N.2;22.00;E2N.2;0;204.76;1.09;0.00;6.38;car;;0;0.00
43.00;C_to_W_1;113.87;13.09;19.00;1.00;E_to_C_1;5.10;13.90;tripinfo_E2W.3 routing_E2W.3;24.00;E2W.3;0;238.93;1.03;0.00;6.17;car;;0;0.00
45.00;C_to_W_1;113.87;13.30;24.00;0.00;E_to_C_1;5.10;13.78;tripinfo_E2W.4 routing_E2W.4;21.00;E2W.4;0;238.93;0.99;0.00;2.90;car;;0;0.00
46.00;C_to_N_0;85.07;12.01;24.00;0.00;S_to_C_0;5.10;12.88;tripinfo_S2N.4 routing_S2N.4;22.00;S2N.4;0;209.77;0.93;0.00;4.79;car;;0;0.00
47.00;C_to_N_0;85.07;13.81;30.00;0.00;S_to_C_0;5.10;13.90;tripinfo_S2N.5 routing_S2N.5;17.00;S2N.5;0;209.77;1.16;0.00;1.60;car;;0;0.00
48.00;C_to_W_1;113.87;13.62;19.00;1.00;S_to_C_1;5.10;11.26;tripinfo_S2W.2 routing_S2W.2;29.00;S2W.2;0;233.20;1.12;0.00;11.20;car;;1;3.00
50.00;C_to_W_1;113.87;12.36;27.00;0.00;S_to_C_1;5.10;13.09;tripinfo_S2W.3 routing_S2W.3;23.00;S2W.3;0;233.20;0.94;0.00;4.66;car;;0;0.00
52.00;C_to_N_0;85.07;11.77;27.00;0.00;E_to_C_0;5.10;12.21;tripinfo_E2N.3 routing_E2N.3;25.00;E2N.3;0;204.76;0.88;0.00;6.76;car;;0;0.00
52.00;C_to_W_1;113.87;12.86;30.00;0.00;E_to_C_0;5.10;13.01;tripinfo_E2W.5 routing_E2W.5;22.00;E2W.5;0;238.93;0.94;0.00;3.40;car;;0;0.00
53.00;C_to_N_1;85.07;13.33;36.00;0.00;S_to_C_1;5.10;13.55;tripinfo_S2N.6 routing_S2N.6;17.00;S2N.6;0;209.77;0.97;0.00;0.88;car;;0;0.00
60.00;C_to_W_1;113.87;11.75;37.00;1.00;S_to_C_0;5.10;12.37;tripinfo_S2W.4 routing_S2W.4;23.00;S2W.4;0;233.20;0.89;0.00;3.39;car;;0;0.00
61.00;C_to_N_0;85.07;13.60;36.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.4 routing_E2N.4;25.00;E2N.4;0;204.76;1.02;0.00;8.70;car;;1;3.00
63.00;C_to_W_1;113.87;13.01;37.00;1.00;E_to_C_0;5.10;10.54;tripinfo_E2W.6 routing_E2W.6;26.00;E2W.6;0;238.93;1.01;0.00;8.20;car;;0;0.00
