tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
19.00;C_to_N_0;85.07;13.15;0.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.0 routing_E2N.0;19.00;E2N.0;0;204.76;1.06;0.00;3.04;car;;0;0.00
20.00;C_to_W_1;113.87;12.99;0.00;0.00;E_to_C_1;5.10;13.04;tripinfo_E2W.0 routing_E2W.0;20.00;E2W.0;0;238.93;0.94;0.00;0.71;car;;0;0.00
25.00;C_to_N_1;85.07;13.15;0.00;0.00;S_to_C_1;5.10;13.90;tripinfo_S2N.0 routing_S2N.0;25.00;S2N.0;0;209.77;1.01;0.00;9.88;car;;1;3.00
26.00;C_to_N_0;85.07;11.04;6.00;0.00;S_to_C_0;5.10;11.55;tripinfo_S2N.1 routing_S2N.1;20.00;S2N.1;0;209.77;0.83;0.00;0.90;car;;0;0.00
29.00;C_to_W_1;113.87;12.94;1.00;1.00;S_to_C_1;5.10;10.72;tripinfo_S2W.0 routing_S2W.0;28.00;S2W.0;0;233.20;1.08;0.00;10.50;car;;1;2.00
32.00;C_to_W_0;113.87;13.33;6.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2W.1 routing_E2W.1;26.00;E2W.1;0;238.93;1.03;0.00;8.60;car;;1;5.00
32.00;C_to_N_0;85.07;13.52;9.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.1 routing_E2N.1;23.00;E2N.1;0;204.76;1.05;0.00;7.21;car;;1;1.00
32.00;C_to_W_1;113.87;12.18;12.00;0.00;E_to_C_1;5.10;13.04;tripinfo_E2W.2 routing_E2W.2;20.00;E2W.2;0;238.93;0.94;0.00;0.98;car;;0;0.00
36.00;C_to_N_0;85.07;11.82;12.00;0.00;S_to_C_1;5.10;11.91;tripinfo_S2N.2 routing_S2N.2;24.00;S2N.2;0;209.77;0.86;0.00;6.13;car;;0;0.00
37.00;C_to_N_1;85.07;13.23;18.00;0.00;S_to_C_1;5.10;13.90;tripinfo_S2N.3 routing_S2N.3;19.00;S2N.3;0;209.77;1.05;0.00;3.82;car;;0;0.00
39.00;C_to_W_1;113.87;11.50;9.00;0.00;S_to_C_1;5.10;12.32;tripinfo_S2W.1 routing_S2W.1;30.00;S2W.1;0;233.20;0.89;0.00;9.68;car;;1;2.00
40.00;C_to_N_0;85.07;13.34;18.00;0.00;E_to_C_1;5.10;13.90;tripinfo_E2N.2 routing_E2N.2;22.00;E2N.2;0;204.76;1.09;0.00;6.63;car;;0;0.00
42.00;C_to_W_1;113.87;13.85;19.00;1.00;E_to_C_1;5.10;13.90;tripinfo_E2W.3 routing_E2W.3;23.00;E2W.3;0;238.93;1.03;0.00;5.82;car;;0;0.00
44.00;C_to_W_1;113.87;13.16;24.00;0.00;E_to_C_1;5.10;13.78;tripinfo_E2W.4 routing_E2W.4;20.00;E2W.4;0;238.93;0.99;0.00;2.42;car;;0;0.00
46.00;C_to_N_0;85.07;12.29;24.00;0.00;S_to_C_0;5.10;12.88;tripinfo_S2N.4 routing_S2N.4;22.00;S2N.4;0;209.77;0.93;0.00;4.86;car;;0;0.00
47.00;C_to_N_0;85.07;13.70;30.00;0.00;S_to_C_0;5.10;13.90;tripinfo_S2N.5 routing_S2N.5;17.00;S2N.5;0;209.77;1.16;0.00;1.70;car;;0;0.00
48.00;C_to_W_1;113.87;13.72;19.00;1.00;S_to_C_1;5.10;10.50;tripinfo_S2W.2 routing_S2W.2;29.00;S2W.2;0;233.20;1.12;0.00;11.45;car;;1;3.00
51.00;C_to_W_1;113.87;12.36;27.00;0.00;S_to_C_1;5.10;13.09;tripinfo_S2W.3 routing_S2W.3;24.00;S2W.3;0;233.20;0.94;0.00;5.08;car;;0;0.00
52.00;C_to_N_0;85.07;12.01;27.00;0.00;E_to_C_0;5.10;12.21;tripinfo_E2N.3 routing_E2N.3;25.00;E2N.3;0;204.76;0.88;0.00;6.75;car;;0;0.00
53.00;C_to_W_1;113.87;12.86;30.00;0.00;E_to_C_0;5.10;13.01;tripinfo_E2W.5 routing_E2W.5;23.00;E2W.5;0;238.93;0.94;0.00;4.13;car;;0;0.00
53.00;C_to_N_1;85.07;13.34;36.00;0.00;S_to_C_1;5.10;13.55;tripinfo_S2N.6 routing_S2N.6;17.00;S2N.6;0;209.77;0.97;0.00;1.07;car;;0;0.00
61.00;C_to_N_0;85.07;13.03;36.00;0.00;E_to_C_0;5.10;13.90;tripinfo_E2N.4 routing_E2N.4;25.00;E2N.4;0;204.76;1.02;0.00;8.87;car;;1;3.00
61.00;C_to_W_1;113.87;11.75;37.00;1.00;S_to_C_0;5.10;12.37;tripinfo_S2W.4 routing_S2W.4;24.00;S2W.4;0;233.20;0.89;0.00;3.73;car;;0;0.00
63.00;C_to_W_1;113.87;13.88;37.00;1.00;E_to_C_0;5.10;10.54;tripinfo_E2W.6 routing_E2W.6;26.00;E2W.6;0;238.93;1.01;0.00;8.72;car;;0;0.00
