scenario,method,throughput,switches,avg_queue,spillbacks,switch_rate,tipo
Pico Matutino,PPO Demanda Fija (Optimizado),46.5,10,5.7,0,0.5,Especialista
Pico Vespertino,PPO Demanda Fija (Optimizado),42.8,10,7.4,2,0.5,Especialista
Mediodia,PPO Demanda Fija (Optimizado),45.0,10,5.3,0,0.5,Especialista
Valle Nocturno,PPO Demanda Fija (Optimizado),45.0,10,3.7,0,0.5,Especialista
AM/PM Dinamico,PPO Demanda Fija (Optimizado),47.2,10,6.7,0,0.5,Especialista
Estatico Medio,PPO Demanda Fija (Optimizado),45.8,10,8.3,1,0.5,Especialista
Pico Matutino,PPO Demanda Variable (Optimizado),47.5,14,7.8,3,0.9333333333333333,Generalista
Pico Vespertino,PPO Demanda Variable (Optimizado),45.0,14,8.67,3,0.9333333333333333,Generalista
Mediodia,PPO Demanda Variable (Optimizado),47.0,13,6.93,3,0.8666666666666667,Generalista
Valle Nocturno,PPO Demanda Variable (Optimizado),46.0,15,3.47,0,1.0,Generalista
AM/PM Dinamico,PPO Demanda Variable (Optimizado),46.5,13,8.47,6,0.8666666666666667,Generalista
Estatico Medio,PPO Demanda Variable (Optimizado),46.0,15,9.67,3,1.0,Generalista
Pico Matutino,Baseline Tiempo Fijo,33.0,4,8.5,1,0.2,Tradicional
Pico Vespertino,Baseline Tiempo Fijo,31.0,4,9.2,2,0.2,Tradicional
Mediodia,Baseline Tiempo Fijo,35.0,4,6.8,0,0.2,Tradicional
Valle Nocturno,Baseline Tiempo Fijo,38.0,4,2.1,0,0.2,Tradicional
AM/PM Dinamico,Baseline Tiempo Fijo,32.0,4,8.9,1,0.2,Tradicional
Estatico Medio,Baseline Tiempo Fijo,34.0,4,7.5,1,0.2,Tradicional
